ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2397.99831914902,-46121.9867926836,-5374.71034276485,-12730.317130059,-16372.1452174485,-12838.1104925424,2178.79493321478,-11622.803919673
-21414.1363601685,-46353.6692892611,-3909.11748471856,-48256.8301989436,-21517.9443368316,-27255.5507887602,-23771.764097333,-10789.6386559233
-10602.4117943645,-70745.1858153083,-6954.57726228237,-37751.1668817997,-11923.1543206153,-26584.8101660423,-18517.5231386721,-13485.276023984
-7801.05126781017,-69021.140874818,-9261.58357584477,-52039.4279645383,-23170.4418158531,-32891.8750146013,-35273.5510083139,-17530.410374701
-41450.516624555,-74929.6042725295,-13505.6039329171,-45437.8971354477,-25124.3594491147,-47561.46998889,-40966.0137974806,-19693.5239672661
-40721.0098247826,-96063.0102214143,-19796.9563348293,-128768.977656782,-38208.5747419596,-27127.8098516353,-80501.15038836,-29581.5291185379
-51733.46245116,-102324.7340215,-23315.1292589605,-140704.720629886,-51739.1778875589,-55808.0659252536,-128321.667668493,-33279.2767965198
-52214.3867180348,-127091.440925673,-22129.6851352453,-140849.923038125,-51582.8002345115,-51120.5190640688,-95807.8109514955,-31290.8235983253
-40896.5674108863,-101423.175939137,-17534.2508776784,-86687.8223303538,-57513.2089481354,-33888.0862267017,-124821.735617057,-31416.9201313257
-34457.3339700699,-99709.3198751807,-13696.2747814655,-87510.1174740046,-51815.9902657867,-14159.5936947763,-78871.6426194571,-33617.0927169323
-34346.8108313978,-66123.7658555359,-5273.70500147343,-66329.9204300717,-39361.3362572193,-22142.9450046383,-14859.5473143458,-15370.3253507242
-4262.08956834674,-35330.2618165016,-3917.03302025795,-4144.32884152979,-6264.27065604925,-30208.6721073017,-6430.53379101306,1336.49960201979
