ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
-48233.7436167002,-97090.2193635032,-16586.8189730048,-114534.943101346,-54175.9038500786,-49089.5137990862,-104292.587924063,-11624.4049839079
-36411.5378567129,-97989.759970881,-15935.5038756728,-112891.368181318,-28039.3072861731,-71985.7990740277,-108484.819980383,-23215.6482462622
-43886.4245480746,-97884.9784360007,-16615.9062562585,-122109.978311777,-39903.5338956714,-61571.1366058961,-107251.203560233,-21917.6203534827
-45281.8882663846,-72480.4813757241,-16198.3410598934,-120104.221315712,-34347.9284760356,-59511.6902259216,-96721.954182297,-18398.1096121054
-50062.9704909921,-66902.2992704511,-11493.9371519238,-100431.322142631,-23777.2622893751,-42808.1554366946,-84882.1722061038,-17580.2570494413
-31312.752199471,-56849.7549226806,-12060.9620528221,-78223.4463912696,-19396.8353798091,-18620.299876079,-73693.6490501762,-8532.52830940485
-18220.1033102274,-40250.0971229449,4928.9142588079,-32535.764827054,-12585.4885731339,3114.62150707841,-23176.6943663768,-4503.7372687906
-16528.7809961513,-41613.3565508518,4255.28442823887,-33978.7115999982,-9243.02362650633,-12635.7908639014,3420.25506353378,-3828.31747424603
-32485.2267380953,-39771.5253053606,2052.28888249397,-37771.1008444726,-5779.10450941324,-22666.7686589807,-4350.12648595125,-4414.54984068871
-11187.7051028535,-44180.0782946944,2272.12357544899,-10759.1027808972,-3387.09395945072,-13632.9724527001,4252.53016198799,-3895.66447815299
-20980.0406647697,-49873.764324382,-4173.3132378459,-36634.5073037669,-6846.12756001949,-13111.1040639281,-33838.6241949499,1878.4581586495
-39957.8482120596,-78735.945485834,-10066.6488931179,-63698.6166412234,-28638.0298215747,-46709.1747844815,-78946.7531237602,-10092.2511181831
-50133.3978009671,-111261.104096591,-11254.1200558543,-97004.2419193983,-36186.2680758163,-59917.9442928582,-108394.691607296,-14624.6044127643
-42995.837066263,-117655.146254003,-15718.810736239,-93998.1564715803,-40862.3167673945,-73450.5923986379,-99497.1549385488,-12171.617757082
-41987.5286817551,-89631.0666176081,-17013.6948497891,-70900.9143612385,-42565.7465346158,-58110.299856931,-62740.9267109782,-26722.6164212227
-42991.2014752626,-113106.433937311,-12678.3656685352,-110138.132823393,-34084.993786633,-62913.6065123081,-96505.7077609003,-22199.8287159801
-45932.1104339361,-87431.3268558383,-12686.2359244823,-93721.7403031886,-29910.9951575995,-25651.695503071,-63070.0602551699,-17464.2066531777
