routeid,region,size,variable,long,lat
4,AS,30.1355157240119,long8,-95.5001527146547,50.6814792993104
5,ATO,2.78845211338908,long8,58.5056474693783,61.2651145935102
6,ATO,2.78845211338908,long8,71.428624283846,76.4409194239949
7,ATO,2.78845211338908,long8,-10.3371210387083,59.5198509612845
8,EU,10.9803510329698,long8,93.3658498455192,56.1135326580781
9,CS,1.07643236311117,long8,60.6536493910836,41.3694264449781
10,ATO,2.78845211338908,long8,-27.0396396998457,49.4657810981685
11,ATO,2.78845211338908,long8,13.6902068770211,56.9920965733639
12,NA,0.275115624721756,long8,-90.5243127804607,63.6900348986911
13,EU,10.9803510329698,long8,-68.8828442069787,78.4620266202341
14,AS,30.1355157240119,long8,80.212566399623,43.3569423936904
15,ATO,2.78845211338908,long8,-44.1385840188453,41.4288483116042
16,MS,0.963089001128358,long8,16.1911548795859,36.3693226260552
17,AS,30.1355157240119,long8,42.4677743137522,27.448232766654
18,EU,10.9803510329698,long8,40.7630869613111,45.8012097314163
19,ATO,2.78845211338908,long8,-5.0498595364522,34.0088055785152
20,EU,10.9803510329698,long8,69.2592601064387,64.0963048576258
1,NA,0.275115624721756,long9,-84.3449649713301,44.5415731773052
2,EU,10.9803510329698,long9,28.2682579737989,58.8667503206307
3,EU,10.9803510329698,long9,122.487601852065,66.1683763569284
4,AS,30.1355157240119,long9,-108.166695205392,51.1273890284916
5,ATO,2.78845211338908,long9,62.6589503743833,60.5032005110283
6,ATO,2.78845211338908,long9,104.086230619023,75.9273820428968
7,ATO,2.78845211338908,long9,-2.79057031760242,59.801433616502
8,EU,10.9803510329698,long9,93.9620501053898,55.6262299028702
9,CS,1.07643236311117,long9,62.0280744732903,41.2590046193296
10,ATO,2.78845211338908,long9,-22.3078148451973,49.9666438049077
11,ATO,2.78845211338908,long9,15.6495128030898,56.9891972724546
12,NA,0.275115624721756,long9,-81.1702645606566,64.1698936572251
13,EU,10.9803510329698,long9,-80.837932991553,78.5127935990739
14,AS,30.1355157240119,long9,80.8272832237728,43.2012897994722
15,ATO,2.78845211338908,long9,-40.6931605443889,41.8113740762419
16,MS,0.963089001128358,long9,18.9578859902268,36.3724586931342
17,AS,30.1355157240119,long9,43.0762846397371,27.5429350370978
18,EU,10.9803510329698,long9,42.5952939925139,45.6587812238481
19,ATO,2.78845211338908,long9,-3.01430224936408,33.9012192466125
20,EU,10.9803510329698,long9,67.6090770395427,63.6119743024315
1,NA,0.275115624721756,long10,-78.6831656361703,44.8052631308235
2,EU,10.9803510329698,long10,33.183189767405,58.853703635378
3,EU,10.9803510329698,long10,119.73858806544,66.3122409154455
4,AS,30.1355157240119,long10,-113.746794383955,51.5862721158885
5,ATO,2.78845211338908,long10,66.3465853144417,59.5501530764216
6,ATO,2.78845211338908,long10,117.7975531826,75.1895168223349
7,ATO,2.78845211338908,long10,4.735152793745,59.8914524297984
8,EU,10.9803510329698,long10,94.4352244045213,55.1467886919532
9,CS,1.07643236311117,long10,63.4085343060527,41.1844697579082
10,ATO,2.78845211338908,long10,-17.4738393202489,50.4304066427055
11,ATO,2.78845211338908,long10,17.546369921893,56.9851522652631
12,NA,0.275115624721756,long10,-69.502443448901,64.7224024006797
13,EU,10.9803510329698,long10,-69.8120079455498,78.3882168062033
14,AS,30.1355157240119,long10,81.3878053668096,43.0530393744791
15,ATO,2.78845211338908,long10,-36.9781706147354,42.2027048489184
16,MS,0.963089001128358,long10,21.7512528653826,36.4318623492196
17,AS,30.1355157240119,long10,43.7073232029801,27.7182755370401
18,EU,10.9803510329698,long10,44.4613613121503,45.5808150154964
19,ATO,2.78845211338908,long10,-0.888110005185465,33.8665535649931
20,EU,10.9803510329698,long10,65.909924652929,63.0929551084324
1,NA,0.275115624721756,long11,-72.7581025675495,45.1143190380932
2,EU,10.9803510329698,long11,38.2286946907146,58.7204037364786
3,EU,10.9803510329698,long11,116.837656428012,66.4144834617555
4,AS,30.1355157240119,long11,-113.615513912807,51.889717598376
5,ATO,2.78845211338908,long11,69.5327494656699,58.4542589034066
6,ATO,2.78845211338908,long11,121.606342101726,74.3192155113183
7,ATO,2.78845211338908,long11,12.4609504246103,59.8002229932346
8,EU,10.9803510329698,long11,94.7703119720872,54.6574757222108
9,CS,1.07643236311117,long11,64.8041224916079,41.128230998236
10,ATO,2.78845211338908,long11,-12.558855112814,50.8200274491722
11,ATO,2.78845211338908,long11,19.4246450135182,56.9939041000903
12,NA,0.275115624721756,long11,-54.1789879061979,65.4117750163081
13,EU,10.9803510329698,long11,-49.0849021061152,78.2247615190406
14,AS,30.1355157240119,long11,81.8444050909632,42.8855276683537
15,ATO,2.78845211338908,long11,-33.1489134114582,42.579624690641
16,MS,0.963089001128358,long11,24.6072699051671,36.5476805183192
17,AS,30.1355157240119,long11,44.3896589914813,27.9486065582588
18,EU,10.9803510329698,long11,46.3881009434272,45.5390466006688
19,ATO,2.78845211338908,long11,1.32943889076923,33.8992621849993
20,EU,10.9803510329698,long11,64.8930499308199,62.5217303980539
1,NA,0.275115624721756,long12,-66.6043816143947,45.5053371186812
2,EU,10.9803510329698,long12,43.134822090535,58.4085783421344
3,EU,10.9803510329698,long12,113.773871657176,66.4770518856082
4,AS,30.1355157240119,long12,-110.426464522524,51.9532794845317
5,ATO,2.78845211338908,long12,72.2494556202813,57.2704188300459
6,ATO,2.78845211338908,long12,118.154207909605,73.3375442613619
7,ATO,2.78845211338908,long12,20.7941416541954,59.4950056058972
8,EU,10.9803510329698,long12,95.0032655111255,54.1655604470898
9,CS,1.07643236311117,long12,66.1637225463866,41.0919265224711
10,ATO,2.78845211338908,long12,-7.52747468076567,51.0973378833311
11,ATO,2.78845211338908,long12,21.2643360558437,56.9780163303668
12,NA,0.275115624721756,long12,-35.3753260813878,66.2447686028387
13,EU,10.9803510329698,long12,-22.6816723588955,78.0745656368233
14,AS,30.1355157240119,long12,82.1894372215206,42.7401153507176
15,ATO,2.78845211338908,long12,-29.2803694875964,42.8764012514954
16,MS,0.963089001128358,long12,27.5162424928616,36.676991689083
17,AS,30.1355157240119,long12,45.0823004193865,28.2052039764041
18,EU,10.9803510329698,long12,48.3395061134227,45.4935893515325
19,ATO,2.78845211338908,long12,3.62786183089704,33.9544804198285
20,EU,10.9803510329698,long12,64.1823453298875,61.9033487749718
1,NA,0.275115624721756,long13,-60.114229844073,45.9932294847513
2,EU,10.9803510329698,long13,47.7086281918822,57.9470824730012
3,EU,10.9803510329698,long13,110.421748675222,66.4945280478192
4,AS,30.1355157240119,long13,-105.266516889173,51.7414643046652
5,ATO,2.78845211338908,long13,74.5702870175688,56.0791107071876
6,ATO,2.78845211338908,long13,113.069542263712,72.2848535219023
7,ATO,2.78845211338908,long13,28.9690698625549,59.0139097161964
8,EU,10.9803510329698,long13,95.1964969643391,53.6728369194269
9,CS,1.07643236311117,long13,67.4691456929749,41.1097582178915
10,ATO,2.78845211338908,long13,-2.45237044768242,51.2906712728254
11,ATO,2.78845211338908,long13,22.9876149038156,56.9301604020947
12,NA,0.275115624721756,long13,-18.5718778001858,67.1415261157695
13,EU,10.9803510329698,long13,2.04096670859354,77.8438189321989
14,AS,30.1355157240119,long13,82.4919468688965,42.6445289097442
15,ATO,2.78845211338908,long13,-25.3916164923998,43.0928521027913
16,MS,0.963089001128358,long13,30.4455538225386,36.8365724221092
17,AS,30.1355157240119,long13,45.8034410061984,28.5084763203246
18,EU,10.9803510329698,long13,50.2835081838623,45.4678193728827
19,ATO,2.78845211338908,long13,6.00489019417273,34.0469338311899
20,EU,10.9803510329698,long13,63.4190656581693,61.2596967742544
1,NA,0.275115624721756,long14,-53.2705809249581,46.5792868204641
2,EU,10.9803510329698,long14,52.0442354457368,57.3862642677579
3,EU,10.9803510329698,long14,107.103877453956,66.4465581033961
4,AS,30.1355157240119,long14,-97.3203719153514,51.3878355263925
5,ATO,2.78845211338908,long14,76.5888089968646,54.9365785666611
6,ATO,2.78845211338908,long14,107.453471123274,71.1414919593738
7,ATO,2.78845211338908,long14,35.8925332278443,58.4537731428226
8,EU,10.9803510329698,long14,95.3221652471992,53.1490261457979
9,CS,1.07643236311117,long14,68.7426011194025,41.1764405088571
10,ATO,2.78845211338908,long14,2.59884697563101,51.4676551145541
11,ATO,2.78845211338908,long14,24.6567987792606,56.8768769708247
12,NA,0.275115624721756,long14,-6.94332198207472,67.9514856724913
13,EU,10.9803510329698,long14,16.9903669046766,77.3839680199727
14,AS,30.1355157240119,long14,82.7870309512549,42.552720755076
15,ATO,2.78845211338908,long14,-21.4673593790518,43.2785759795937
16,MS,0.963089001128358,long14,33.4031798277349,37.0804409261871
17,AS,30.1355157240119,long14,46.6025415034524,28.8687434181262
18,EU,10.9803510329698,long14,52.2273952821942,45.4964308811598
19,ATO,2.78845211338908,long14,8.47846200752934,34.230670576054
20,EU,10.9803510329698,long14,62.6246788171576,60.5854114648575
1,NA,0.275115624721756,long15,-46.2257519971803,47.2435666816715
2,EU,10.9803510329698,long15,56.1384610986019,56.7220368047192
3,EU,10.9803510329698,long15,103.356016440752,66.3038044487595
4,AS,30.1355157240119,long15,-87.5031740699264,51.1811720577334
5,ATO,2.78845211338908,long15,78.3888594408283,53.8568138538944
6,ATO,2.78845211338908,long15,101.664710157351,69.8596636070828
7,ATO,2.78845211338908,long15,41.9510983459823,57.7913861724535
8,EU,10.9803510329698,long15,95.3501615990939,52.591818469682
9,CS,1.07643236311117,long15,69.9714664158081,41.2471659324322
10,ATO,2.78845211338908,long15,7.69392028174035,51.635883668954
11,ATO,2.78845211338908,long15,26.6319711156734,56.8122901863154
12,NA,0.275115624721756,long15,2.65663057397072,68.4393923073244
13,EU,10.9803510329698,long15,19.9830610979082,76.6392838369784
14,AS,30.1355157240119,long15,83.0337384084493,42.43244593311
15,ATO,2.78845211338908,long15,-17.5338993332576,43.4217591896261
16,MS,0.963089001128358,long15,36.4274531885586,37.3930215972687
17,AS,30.1355157240119,long15,47.4670891700842,29.2545136831304
18,EU,10.9803510329698,long15,54.1722061432809,45.5570503603397
19,ATO,2.78845211338908,long15,11.0852049699858,34.499694544457
20,EU,10.9803510329698,long15,62.3005675832204,59.8459938657467
1,NA,0.275115624721756,long16,-38.9711493502482,47.8910409743361
2,EU,10.9803510329698,long16,59.8211102475104,55.9397114498276
3,EU,10.9803510329698,long16,98.9352470736026,66.0103523661539
4,AS,30.1355157240119,long16,-77.3690896141468,51.3006938580433
5,ATO,2.78845211338908,long16,79.9832566876775,52.8681951352971
6,ATO,2.78845211338908,long16,97.4680915040561,68.4714813732284
7,ATO,2.78845211338908,long16,47.6184525446476,56.9511187149861
8,EU,10.9803510329698,long16,95.2498873507701,52.0369351340883
9,CS,1.07643236311117,long16,71.1261971340351,41.3270428963417
10,ATO,2.78845211338908,long16,12.887107983979,51.7399721505078
11,ATO,2.78845211338908,long16,29.0054270809794,56.6978477373722
12,NA,0.275115624721756,long16,12.7186483622721,68.3928179214485
13,EU,10.9803510329698,long16,21.6899494989404,75.6593416179286
14,AS,30.1355157240119,long16,83.2294980342072,42.3254571414518
15,ATO,2.78845211338908,long16,-13.5543024177711,43.4705419566824
16,MS,0.963089001128358,long16,39.5163688213602,37.7239709480262
17,AS,30.1355157240119,long16,48.3686999233405,29.6489247819988
18,EU,10.9803510329698,long16,56.0938136249302,45.6158903825233
19,ATO,2.78845211338908,long16,13.8217462100104,34.8057945420939
20,EU,10.9803510329698,long16,62.3392756183769,59.0284363322041
1,NA,0.275115624721756,long17,-31.62777507499,48.3994659268338
2,EU,10.9803510329698,long17,63.1206077302054,55.0616063657413
3,EU,10.9803510329698,long17,95.0764595065905,65.5215611623504
4,AS,30.1355157240119,long17,-67.6092186495998,51.7894482426532
5,ATO,2.78845211338908,long17,81.3813386401504,52.0213997459847
6,ATO,2.78845211338908,long17,95.0931430015868,67.0785300508021
7,ATO,2.78845211338908,long17,52.8981404398195,55.9621327140561
8,EU,10.9803510329698,long17,95.096714898637,51.5166585625587
9,CS,1.07643236311117,long17,72.2311791783423,41.4485629547611
10,ATO,2.78845211338908,long17,18.231468150768,51.7751182539015
11,ATO,2.78845211338908,long17,31.8116571130208,56.5363891499791
12,NA,0.275115624721756,long17,23.7509716067055,67.8236096631183
13,EU,10.9803510329698,long17,27.0021586948574,74.4423148157391
14,AS,30.1355157240119,long17,83.4298631553742,42.2568815672119
15,ATO,2.78845211338908,long17,-9.39431547102723,43.4349913298123
16,MS,0.963089001128358,long17,42.6379918543213,38.0899482415178
17,AS,30.1355157240119,long17,49.3115949390663,30.0775067576793
18,EU,10.9803510329698,long17,57.9868235356556,45.6877731477438
19,ATO,2.78845211338908,long17,16.6523501808665,35.1588481680648
20,EU,10.9803510329698,long17,62.4973249236684,58.1631315127436
1,NA,0.275115624721756,long18,-24.385329449947,48.7500846662012
2,EU,10.9803510329698,long18,66.2532877390889,54.1063614554279
3,EU,10.9803510329698,long18,91.9064712795158,64.8208770536873
4,AS,30.1355157240119,long18,-57.4386667093183,52.6013156333975
5,ATO,2.78845211338908,long18,82.6344758698575,51.3045920045341
6,ATO,2.78845211338908,long18,93.3340073508839,65.7085688269662
7,ATO,2.78845211338908,long18,57.7773123102926,54.8951747295251
8,EU,10.9803510329698,long18,94.9795925940287,51.0211589588678
9,CS,1.07643236311117,long18,73.3273162661431,41.581147098036
10,ATO,2.78845211338908,long18,23.756609821898,51.7887991118463
