date,ACCESS-ESM1-5,BCC-CSM2-MR,CanESM5,GFDL-ESM4,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
2027-08-01,41806.6449488442,52468.5994764888,59716.6893012378,65547.0058289999,52784.3869859633,64308.7801334662,51217.3248787099,56177.3761615102
2027-09-01,71164.5965912786,61303.4517505415,56557.6186144961,83478.9696641254,41040.7158398503,65150.7247577355,80725.7067676409,50607.9220413669
2027-10-01,77189.4768085981,64287.1279513447,91338.2260110256,51179.9750849139,56259.2661821078,58121.5680337588,103577.963867948,48904.8739801328
2027-11-01,63974.3465337048,56011.4376983652,48754.1556684508,87062.3172389927,84690.8074456698,69921.9936925355,73142.0065330273,65042.9992440118
2027-12-01,73353.2626849585,63304.4990412556,67531.3771329102,65319.8232700034,71087.1257001432,82920.2882719513,74249.643372756,74911.7527279871
2028-01-01,62671.7046383616,60597.9323725528,67157.5435069975,59288.8740739988,74839.8354681065,61971.7516433226,70795.5577427244,73530.2185947089
2028-02-01,71400.5635518316,74915.7123772119,79143.8937712585,66393.4585791111,62376.9280763758,84767.0694476595,74155.8113196907,88009.2531377915
2028-03-01,77834.4295176102,86495.6633117458,71840.7341337903,61586.7039551645,71087.1257001432,62803.9097705001,68913.2098594423,61315.2616499169
2028-04-01,57700.5627248027,74883.7900140507,91919.7256639453,62912.1365206636,86368.0105565111,62356.9167468095,77883.3161196504,88382.0927000094
2028-05-01,72385.7030179914,61491.3358310784,67919.5120325898,75770.1102211256,92992.5161095662,85649.3703274529,57275.055694997,79683.6410518441
2028-06-01,69280.0721248059,59631.9724846938,67567.7409406349,47401.1119714413,64581.6246297688,77625.2247942211,67746.9174536871,71340.6404318398
2028-07-01,53944.4688727695,55930.6759792741,53048.0720793837,50281.3310762249,64961.877267237,64693.7070299761,72337.6826272674,79683.6410518441
2028-08-01,71164.5965912786,62243.1686532514,57779.7271485289,78410.7561429424,51130.3748490296,70894.0153961971,68286.7098532388,84067.646051157
2028-09-01,63832.5976904106,51876.3119010481,53835.4251781847,78386.5886050206,58383.2818877374,64354.3511756896,66192.3715684644,55719.1610992839
2028-10-01,72385.7030179914,56028.2388357665,86998.1312456647,81567.4141862244,57699.8394222637,62677.2717719804,78830.1423873351,87141.4197321038
2028-11-01,62610.493862197,73143.12147997,48754.1556684508,94220.1403830068,57539.7835367062,79284.1025813383,93174.4979512207,65481.7279522024
2028-12-01,56184.7299346279,66396.3883982005,73654.7331784242,78910.778449153,74839.8354681065,61941.7529130333,56273.9710660438,66359.5458631703
2029-01-01,66998.4797824365,64435.3904362783,69221.3494276382,66844.0691679497,63947.164951731,61966.4392290331,77883.3161196504,71150.4029534742
2029-02-01,74220.3010508857,61010.2716823054,49332.3219481903,79744.4770618685,69451.3561437111,61941.7529130333,72500.7665948253,60001.8526314504
2029-03-01,72942.0934158915,78195.5476795426,71935.3643428913,58168.5368031928,71087.1257001432,58331.6804472264,57730.967798403,88394.9106416604
2029-04-01,92633.5184905191,59631.9724846938,69017.6597469382,61586.7039551645,79038.1614503249,78255.4042369748,83525.7061674259,77506.9083718544
2029-05-01,60404.8987809798,73097.4667287148,63089.6500684,70805.8287444939,74485.8338615593,77473.1127545787,83868.9463533027,93083.4883206179
2029-06-01,71492.5100320571,89868.6204720503,88464.3814274112,68566.5609713858,56979.748025174,58108.0826653715,78400.06904522,70513.8585021135
2029-07-01,53944.4688727695,71182.4522699725,55669.9813698693,67240.6769438067,47894.8937026443,63680.3642812915,57531.6331595462,62542.6834898818
2029-08-01,53944.4688727695,68464.8979041658,58588.066282817,66920.7292494979,53636.9788142016,59124.1614349068,57531.6331595462,64446.4797667035
2029-09-01,73135.3460923608,61303.4517505415,93788.6270450644,47393.6038858617,51500.8374454616,63618.4115423201,70416.7927861378,54304.2935124136
2029-10-01,76655.2189229765,58585.2099120866,71590.1194688852,70805.8287444939,51500.8374454616,67957.5863136426,64978.2103214335,77936.9581962719
2029-11-01,62104.3459108709,75776.6143327035,66658.7967413049,73452.8531465974,84690.8074456698,85421.6276362429,85034.654006316,79311.4322478736
2029-12-01,63775.8667936632,89354.0597833917,73151.4614684844,57505.9723175556,71087.1257001432,65562.5483802894,64429.1413997995,61224.8526572513
2030-01-01,76709.1785485678,80899.6731494588,73740.2269067455,61290.4819560433,62376.9280763758,64736.023569749,62214.8287562632,60503.2605623819
2030-02-01,63633.006834263,74825.9336537331,68946.6582254395,66393.4585791111,59529.3298853542,61738.267331189,66860.6798753764,60503.2605623819
2030-03-01,63006.3092818649,64073.5482154153,62202.5401115495,92813.2633983508,71674.6584773634,80078.4327709205,79046.2310746328,65671.5872096537
2030-04-01,71634.5971427685,56756.5367185904,65940.5479935677,85724.9086495484,78719.8763759268,67345.4723154783,72500.7665948253,88382.0927000094
2030-05-01,53295.2432521147,63675.2521398881,69324.8544383493,67493.6219705457,80157.1398902386,70152.2233585545,102179.543434701,68439.0782049843
2030-06-01,60415.8318041549,67029.5311596681,68472.307052674,83028.0698608873,48325.5298870154,61897.6919254681,50927.9524474558,59171.4618921618
2030-07-01,51827.837639854,51535.9562346558,62141.8740838344,46425.6749662365,56289.071086396,43808.9775061514,50929.4849307554,54304.2935124136
2030-08-01,51224.7024460076,61107.3779186361,57768.2111609871,46425.6749662365,56342.72455333,62356.9167468095,60855.1743032013,58714.7956009756
2030-09-01,66874.5155310501,63693.6462851199,58201.1577029399,79282.8677696565,56161.2691741063,64499.687167032,49486.6165147047,59786.3256482453
2030-10-01,70685.8691753476,68393.2375701705,91617.0377685059,51091.3088701949,56288.8198663515,67703.4672535177,67618.3454738572,100190.033716601
2030-11-01,78810.9147134419,61261.1351782648,75436.3660965631,66199.8602279814,68925.9694399946,80078.4327709205,67070.9956661275,60974.3294006736
2030-12-01,64658.4256893168,66396.3883982005,47318.1226999237,62099.2867179665,70643.7896041225,64736.023569749,56367.8936990571,65818.3445915715
2031-01-01,58200.0186151668,62682.414187031,61774.3832503313,57859.7223925869,68419.780226926,60015.3635051367,83897.805216227,61199.0794407539
2031-02-01,62729.2469449474,63094.1327432189,67154.6627848152,65290.7193466941,74511.9569293274,93508.4814742993,75955.1893552084,63365.2175433401
2031-03-01,79585.5466679273,60980.0740749285,77627.928693549,68984.3669104387,76251.3177588938,79929.1870866311,66478.2119498109,83139.2297969622
2031-04-01,75395.2307565975,63000.7558418652,47318.1226999237,81268.2802795244,69862.2847914731,85421.6276362429,57779.6259996391,60948.6199552243
2031-05-01,60809.0808387082,73298.7270194712,93225.1588272104,67493.6219705457,74905.3280116267,80091.8623185492,72583.938269146,79683.6410518441
