date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2006-06-01,76033.2759627395,69026.0918087572,69399.121099586,66382.3425914858,67533.7932368967,74014.2317320699,66672.6477250137,74382.1553947436,83105.2646887654
2006-07-01,58795.3937060803,59902.8517824576,60205.5655808972,59206.2271106329,60686.7943223364,69806.4361451263,57837.0343146631,63716.5859626852,60935.3138325899
2006-08-01,71194.4643504217,66926.3923198014,64559.1254037875,68109.70427335,66485.1764251654,79014.2650388686,69406.4092825524,75383.5052538179,64340.3653812522
2006-09-01,78753.8043279138,81003.5668619487,80846.1807831444,73563.4529711516,70971.6476807689,73299.7630416724,81832.9092894229,73697.6962560421,72038.2160844025
2006-10-01,91180.3350918882,78342.4449943961,85825.0515239524,89904.0848924338,81034.3804160704,78366.7439135429,87956.4248020166,94492.3094584033,82718.9444813422
2006-11-01,88520.337465586,75779.6731468932,82065.9550156832,75029.1417545274,89625.840490485,80405.0779038629,69300.7052415576,81582.9705754767,93563.550076341
2006-12-01,67558.8520334967,70263.0678849267,68567.9365706564,81187.5380861912,60505.5313126564,75222.1942492311,71032.3941271987,73248.4437174313,65939.3062342879
2007-01-01,53441.083346851,64970.3195967898,68140.972771006,55392.4085557631,56971.2258772185,54919.3251427582,56467.4648718933,59121.7377371333,51692.1115688131
2007-02-01,61375.3927473181,59604.7916708713,66002.1595680497,64633.6543849166,66438.0176674731,54868.1169568547,56971.2520201001,67459.2581654411,64104.7646603106
2007-03-01,57427.9166607654,62824.3513009624,64295.3228721884,58777.4874826602,67015.3427331042,52262.219407954,56081.7924967128,57105.1416130968,61278.8854507382
2007-04-01,66852.0814003593,64860.8971772472,65920.9530787603,75217.5377894342,70286.2800105648,57615.8806047427,62873.7383173595,66481.7630335945,46386.0723542109
2007-05-01,69738.914765321,63060.0492818617,80089.4284776173,62610.4964661417,64303.1176051844,48018.9987752212,55109.0492820078,69386.2339385198,100776.027109917
2007-06-01,61652.4687552629,71043.2108184218,76198.1066912289,68551.9619871678,66183.2828389757,73305.0969181433,60412.3138467884,59054.0443432795,67838.8733693462
2007-07-01,61219.4048586348,63862.9248769322,66214.966856461,63532.206070884,64398.9028016585,65926.9408696794,62079.1168179168,59740.5975228909,75993.1246025468
2007-08-01,68536.6656429705,64702.1763156725,69399.121099586,69542.4140178843,67634.0303464252,71957.8921632195,83010.4446905028,71921.5607552051,76558.4089103282
2007-09-01,91440.9835383026,69026.0918087572,68517.1409707558,61160.9198453715,59978.0568767015,87569.3204943652,80628.9839111226,80305.1645255615,61969.1962630822
2007-10-01,92637.5528961478,76774.8096149449,85504.7603731189,85269.6918916113,85219.5041902709,89220.7804042121,83913.3605233072,84482.6372612728,84321.6482569088
2007-11-01,92324.9812764628,60587.5927601039,88952.6406462242,62709.1873708692,77151.6188167034,79364.9077326761,77902.3198323713,89252.4446916375,94448.9951403988
2007-12-01,82849.5875879291,80371.9616251873,80048.8763311101,76647.2404683736,75058.5094885548,80170.0878617978,80829.8810773626,76458.4198057638,79560.1919070509
2008-01-01,58014.2468341952,55303.4065456107,68567.9365706564,57766.7012047696,57725.3409539875,62973.1098484726,58954.9709615496,69028.3403470654,54915.3621119417
2008-02-01,56540.7743410295,58589.6482140719,57307.6723200432,60329.9981148392,57695.1140396199,61410.164847703,43557.7253284088,80153.8108317237,60483.6668847936
2008-03-01,49717.4674100505,63830.320446107,57372.583754313,67428.4288257115,54779.1637363813,47187.804206332,63042.6994493884,55954.8553258848,52739.3450970909
2008-04-01,65235.6392821088,69994.9837600812,65106.4219574921,70602.4390457063,66056.6613800785,63635.407320364,66084.8101409352,72787.4718150702,60437.8646399356
2008-05-01,68892.4176259514,70253.1714133374,69348.1284506689,66670.1274517614,65518.5785293952,58868.2399901251,74296.9217070364,68819.1195868037,75755.982878965
2008-06-01,73268.5227483547,65295.1862796697,64731.6610438473,69542.4140178843,67645.4879741455,76794.2446524127,76285.6126518719,65792.4212803083,72711.3333291766
2008-07-01,66875.3757011924,65990.6657849051,82886.4894203648,51490.2329434973,61727.9746170385,58583.6636830869,70716.6660127776,70288.5570023906,90610.0583918781
2008-08-01,72137.2694862952,65260.639632123,69818.9767827476,79423.8806788453,65104.6320839987,68459.0869077867,74935.8892218652,70288.5570023906,71181.9415758404
2008-09-01,78091.2262529635,73394.5651298539,66331.1213522994,57009.6994076729,66485.1764251654,82207.2937964237,58838.132000117,74640.0466737663,63040.096058358
2008-10-01,105135.571884356,94717.9123240958,89348.1056204778,90784.5541044691,92925.2882769448,86072.0176734895,90594.7931254865,97992.5419478779,90380.1524361757
2008-11-01,101496.990072711,80310.9030299035,90827.2447882225,92295.6978749973,96792.0964663259,82906.9659819058,79592.7094701598,84598.8868804279,96178.7032640025
